2020-09-14,51726
2020-09-15,52348
2020-09-16,52332
2020-09-17,51905
2020-09-18,52107
2020-09-21,51576
2020-09-22,50993
2020-09-23,50663
2020-09-24,49962
2020-09-25,50151
2020-09-28,49805
2020-09-29,50682
2020-09-30,50618
2020-10-01,50569
2020-10-05,50730
2020-10-06,51104
2020-10-07,50446
2020-10-08,50518
2020-10-09,50899
2020-10-12,51292
2020-10-13,51207
2020-10-14,50673
2020-10-15,50672
2020-10-16,50957
2020-10-19,51030
2020-10-20,50995
2020-10-21,51420
2020-10-22,51383
2020-10-23,51185
2020-10-26,51227
2020-10-27,51101
2020-10-28,51062
2020-10-29,50785
2020-10-30,50805
2020-11-02,51073
2020-11-03,51228
2020-11-04,51219
2020-11-05,51503
2020-11-06,52214
2020-11-09,52446
2020-11-10,50521
2020-11-11,50690
2020-11-12,50652
2020-11-13,50858
2020-11-14,50852
2020-11-16,50842
2020-11-17,50969
2020-11-18,50580
2020-11-19,50206
2020-11-20,50282
2020-11-23,50306
2020-11-24,49228
2020-11-25,49018
2020-11-26,49077
2020-11-27,48942
2020-11-30,48928
2020-12-01,48161
2020-12-02,48931
2020-12-03,49277
2020-12-04,49139
2021-01-01,51772
2021-01-04,52616
2021-01-05,53154
2021-01-06,53406
2021-01-07,52484
2021-01-08,51945
2021-01-11,51064
2021-01-12,51186
2021-01-13,50980
2021-01-14,50975
2021-01-15,50825
2021-01-18,50438
2021-01-19,50613
2021-01-20,50704
2021-01-21,51089
2021-01-22,50718
2021-01-25,50625
2021-01-27,50472
2021-01-28,50397
2021-01-29,50596
2021-02-01,50119
2021-02-02,49762
2021-02-03,49337
2021-02-04,48824
2021-02-05,48623
2021-02-08,48753
2021-02-09,49472
2021-02-10,49306
2021-02-11,49334
2021-02-12,48656
2021-02-15,48608
2021-02-16,48716
2021-02-17,47926
2021-02-18,47611
2021-02-19,47309
2021-02-22,47974
2021-02-23,48093
2021-02-24,47958
2021-02-25,47714
2021-02-26,47793
2021-03-01,47152
2021-03-02,46574
2021-03-03,46260
2021-03-04,45901
2021-03-05,45574
2021-03-08,45612
2021-03-09,45691
2021-03-10,45875
2021-03-11,45870
2021-03-12,45443
2021-03-15,45969
2021-03-16,45963
2021-03-17,46047
2021-03-18,46024
2021-03-19,46046
2021-03-22,45850
2021-03-23,46044
2021-03-24,45950
2021-03-25,45909
2021-03-26,45841
2021-03-29,45827
2021-03-30,45433
2021-03-31,45184
2021-04-01,46024
2021-04-05,46144
2021-04-06,46346
2021-04-07,47109
2021-04-08,47317
2021-04-09,47346
2021-04-12,47521
2021-04-13,47421
2021-04-14,47416
2021-04-15,47716
2021-04-16,48018
2021-04-19,48708
2021-04-20,48236
2021-04-21,48231
2021-04-22,48731
2021-04-23,48680
2021-04-26,48337
2021-04-27,48304
2021-04-28,47790
2021-04-29,47791
2021-04-30,47595
2021-05-03,47857
2021-05-04,47814
2021-05-05,47640
